song_title,artist_name,track_id
All I Want For Christmas Is You,Mariah Carey,1dsU1IcJ4MTZXeApbwuu4B
Last Christmas,Wham!,3KaotdNHy44p4Ah9Yt0yKb
Rockin' Around The Christmas Tree,Brenda Lee,0zr8GA2HroEZ1mtncgW3xI
Jingle Bell Rock,Bobby Helms,5u54rqcQl2UYJgTyNLuTHv
Golden,"HUNTR/X: EJAE, Audrey Nuna & REI AMI",1CPZ5BxNNd0n0nF4Orb9JS
The Fate Of Ophelia,Taylor Swift,1dosSsKwYF7hoQA2kuu6wI
Ordinary,Alex Warren,6qqrTXSdwiJaq8SO0X2lSe
Santa Tell Me,Ariana Grande,26yZeDdPKAnPQrmxaXoqk3
The Christmas Song (Merry Christmas To You),"Nat ""King"" Cole",4PK1GubWVTmaOi4Og0Phr4
It's The Most Wonderful Time Of The Year,Andy Williams,4zSvqMbMKsyEVuiKXMY44O
Underneath The Tree,Kelly Clarkson,45GY7KeQBmWgXvTlU6zFkU
Man I Need,Olivia Dean,1qbmS6ep2hbBRaEZFpn7BX
Let It Snow! Let It Snow! Let It Snow!,Dean Martin,4kKdvXD0ez7jp1296JmAts
It's Beginning To Look A Lot Like Christmas,Michael Buble,3QHUcfZy3Eag1QghcsjqBV
Sleigh Ride,The Ronettes,5wcL95EGLqxVkMNpVnLFG0
A Holly Jolly Christmas,Burl Ives,2HHe0MZr7vmbL2PL210LhS
Feliz Navidad,Jose Feliciano,2Qxl1GRAv2UZYqJhm2nzVl
Christmas (Baby Please Come Home),Darlene Love,3PIDciSFdrQxSQSihim3hN
White Christmas (1947),Bing Crosby With Ken Darby Singers & John Scott Trotter & His Orchestra,3XsaSIPWvM61RIFfeb0BBR
Mutt,Leon Thomas,1CtRHG4oPa1iOQKLnORJKF
Jingle Bells,Frank Sinatra With The Orchestra & Chorus Of Gordon Jenkins,4KV9bM7a1KDc7b7OakFZic
Run Rudolph Run,Chuck Berry,2I1isoOkVXBEYLE11uEJYk
Back To Friends,sombr,7K1m0WlCzG8xZlLuBvgfQ6
It's Beginning To Look A Lot Like Christmas,Perry Como And The Fontane Sisters With Mitchell Ayres And His Orchestra,2pXpURmn6zC5ZYDMms6fwa
Opalite,Taylor Swift,67osB3wmJVTFzKhWqPb1Hm
Folded,Kehlani,0bxPRWprUVpQK0UFcddkrA
Choosin' Texas,Ella Langley,3F8SPDKxic0gaRpLI2wIuO
Daisies,Justin Bieber,6JX6NGKuehv0DpJh2uTe4C
Deck The Halls,Nat King Cole,1RrvUX8CDT45rDqI82bu9t
Santa Baby,Eartha Kitt With Henri Rene And His Orchestra,1foCxQtxBweJtZmdxhEHVO
Blue Christmas,Elvis Presley,2AcJuiRry0NtHJSFyKzRCM
Here Comes Santa Claus (Right Down Santa Claus Lane),Gene Autry,25leEEaz1gIpp7o21Fqyjo
Wonderful Christmastime,Paul McCartney,5eY1g1gDmY49SUooFPsOpa
Please Come Home For Christmas,Eagles,6BXcZ4bcVoAwrYiH8excaR
Like It's Christmas,Jonas Brothers,6faHyZRv6wFTg9C2NqqxpY
Holly Jolly Christmas,Michael Buble,7BQ40mY3YZCGld8uQBuDGY
Rudolph The Red-Nosed Reindeer,Gene Autry & The Pinafores,47otoIkhx3fkdivEXL5OB6
Christmastime Is Here,Vince Guaraldi Trio,3bMfUUpzUzqWp9II00yRhE
Little Saint Nick,The Beach Boys,1lKnOKidDub7ysBguWpAgX
"Santa, Can't You Hear Me",Kelly Clarkson & Ariana Grande,38lBDJu9AKcBDXpId9ySQg
"You're A Mean One, Mr. Grinch",Thurl Ravenscroft,0cNWIhVUtIhZT1QNz9BhmE
It Depends,Chris Brown Featuring Bryson Tiller,5JrQ1Jc3udCcAJasEpH0Ov
Merry Christmas,Ed Sheeran & Elton John,3ET9Szai5f5ryGB0tPrRqS
Mistletoe,Justin Bieber,7xapw9Oy21WpfEcib2ErSA
Tit For Tat,Tate McRae,3As52VFFtHoYPhdUNPT0BW
Santa Claus Is Comin' To Town,Jackson 5,0ReKGhOuNFt2KyVbTffKLM
So Easy (To Fall In Love),Olivia Dean,6sGIMrtIzQjdzNndVxe397
Baby It's Cold Outside,Dean Martin,6dgTZ6JwHKViVANRqajQ5Z
Winter Wonderland,Darlene Love,7kE6btERrlSIJt5kbkB1RY
This Christmas,Donny Hathaway,6Oci9lCUoM9ybUq54bVMqM
Tears,Sabrina Carpenter,5BXgoZuocyJJqujHtN6zFc
Don't Mind If I Do,Riley Green Featuring Ella Langley,1FHIZknONrV2c20w0x5AVG
Where Is My Husband!,RAYE,1lNeLQh7BDM7KvYTteYV4M
wgft,Gunna Featuring Burna Boy,7LIub0GjeQmAMIv9wXZstp
Gabriela,KATSEYE,3w2BGmiu9gMYrTHChGLQtx
Happen To Me,Russell Dickerson,5zdUc1JRCImBYcDWgvFNpE
20 Cigarettes,Morgan Wallen,5dK0aA2pLca6h9ANFTTMQf
Nice To Meet You,Myles Smith,6KhQwU9hh3ucIF48b5Kzr8
6 Months Later,Megan Moroney,6GTQGUEhuIIJDWRnXSu3kI
Is It A Crime,Mariah The Scientist & Kali Uchis,27WUApENu4rsjBsYfb10gI
Yukon,Justin Bieber,2q806mixyBFn36DmCHdVwW
Hell At Night,BigXthaPlug Featuring Ella Langley,6r1lboTadi5swMquaAWDzh
House Again,Hudson Westbrook,0hUAlAhKgCaGynbiPzIh8B
Better Me For You (Brown Eyes),Max McNown,5N54GyvfhQdg4ydYYyeaDL
A Couple Minutes,Olivia Dean,6KBJyJ38tvpzjWqMeV3MAl
Nobody's Girl,Tate McRae,5MNUJ1AZXMjU7FUE9aQ2Ym
Shot Callin,YoungBoy Never Broke Again,4XCzFaUl0CvaOYC5GLCRIS
Elizabeth Taylor,Taylor Swift,1A2vZKJZovt4828jwLgiB3
"3,2,1",Tucker Wetmore,5RRIO4JSQyAEdiivATnXUq
Dracula,Tame Impala,0WSEq9Ko4kFPt8yo3ICd6T
Take Me Thru Dere,"Metro Boomin, Quavo, Breskii & YKNIECE",2GFawZaMjG8QLxiR4OD3db
The Fall,Cody Johnson,4dS1QQw8askb1KSDLCKuvK
Travelin' Soldier,Cody Johnson,0my7bw84UcX256xTi73HOs
Sugar On My Tongue,"Tyler, The Creator",2YC1fWEjVru8p7dB5eGIfK
12 To 12,sombr,6jWxXfUH8yumRp4DAxuhNm
Darlin',Chase Matthew,3SdTKo2uVsxFblQjpScoHy
Amen,Shaboozey & Jelly Roll,2qg0Rpiq1FsbbRzlui2aQG
Last One To Know,Gavin Adcock,4JAmBKnHyq2avqNvJ81Mao
Favorite Country Song,HARDY,3roJNjr7zRlLyr1bTPq0AS
Father Figure,Taylor Swift,1lD0oPIfSYid1LhPvgrz10
Camera,Ed Sheeran,6ZezzrpfyuxgsNdttWXEOk
ErrTime,Cardi B,2s2RplGcKgNgMGwRXIWGNH
Back In The Saddle,Luke Combs,5zjKxcNJ3v0IkJcOQHWQRZ
Wi$h Li$t,Taylor Swift,3Qeh4z08FfDBRfQMfDv83f
Cowgirl,Parmalee,0Zy9VEBhwZzh3RPzMDvdrM
Shake The Snow Globe,Gwen Stefani,3uqinR4FCjLv28bkrTdNX5
Days Like These,Luke Combs,11oAwZq3NfZxDgJuqvw4jJ
Anything But Love,Tate McRae,5qDKA8TgdRLaDb71oICbua
What Kinda Man,Parker McCollum,23fK6OKpqOXPcUI3nRpfNa
How Far Does A Goodbye Go,Jason Aldean,17U2M7HB14yGe9QSAmbyyB
Nice To Each Other,Olivia Dean,2cMpwtX4deyONoqBAfzcAp
Gone Gone Gone,"David Guetta, Teddy Swims & Tones And I",6e1FpexOjC5Tx3Ij7UusJv
The Dead Dance,Lady Gaga,7DKnaQhA2aO40rZMhEG2KO
Went Legit,G Herbo,6j9hMjMCp0II1QX1auUlWX
Sienna,The Marias,0xmjwnQ3FNE6HuWCt2nHdZ
For Good,Cynthia Erivo & Ariana Grande,0NSQes0wj8vkwNnnAAKu6E
No Good Deed,Cynthia Erivo,5o0hD6Bs6RdyZxfYBoEEc8
Let Alone The One You Love,Olivia Dean,1mMRddLLTQgjxVmgXQOYhT
The Life Of A Showgirl,Taylor Swift Featuring Sabrina Carpenter,5eXgqtg3T8Av0m1FUaGHex
When Did You Get Hot?,Sabrina Carpenter,69mFkztzbPcoL89iqeuhdv
